age_yr,se_age_yr,height_m,method
55.4109589041095,1,12.5,F14C
52.4109589041095,1,12.5,F14C
50.4109589041095,1.5,12.5,F14C
69.8630136986301,1,12.6,F14C
72.8630136986301,2.75,18.3,F14C
50.5178082191781,4,18.5,F14C
50.5178082191781,4,18.5,F14C
69.8465753424657,2,12.9,F14C
45.1698630136987,4.25,18.6,F14C
72.3287671232877,3.5,10,F14C
52.5178082191781,5,17.2,F14C
61.4109589041095,1,9.2,F14C
70.304109589041,2.75,10.6,F14C
76.3287671232877,6.5,10.8,F14C
59.3479452054794,7,15.6,F14C
49.8219178082193,2,12,F14C
49.1698630136987,2.5,13.7,F14C
62.8219178082193,1,12.8,F14C
44.5178082191781,1,9.4,F14C
37.8219178082193,1,7.1,F14C
41.5178082191781,4.5,11.9,F14C
71.3287671232877,2,11.7,F14C
52.4109589041095,1,9.4,F14C
29.8630136986301,8.75,8.8,F14C
28.8219178082193,1,7.8,F14C
62.3479452054794,1,14.2,F14C
40.5178082191781,1,7.5,F14C
44.4109589041095,1,7,F14C
3.10684931506853,1,1.335,regen
1.70684931506844,1,0.81,regen
1.63835616438359,1,0.47,regen
2.67671232876705,1,1.31,regen
2.84657534246571,1,0.68,regen
2.59726027397255,1,1.45,regen
4.55890410958909,1,0.945,regen
2.73698630137005,1,1.035,regen
2.03287671232874,1,0.33,regen
12,2.16,4.93,ring count
14,2.52,4.74,ring count
11,1.98,4.47,ring count
12,2.16,5.57,ring count
8,1.44,4.34,ring count
18,3.24,7,ring count
14,2.52,6,ring count
12,2.16,5.92,ring count
