tree_ring_age_yr,f14_age_yr,min_f14_age_yr,max_f14_age_yr,se_log_f14_age_yr
61,55.4109589041095,54.4109589041095,56.4109589041095,0.0180548147356185
55,52,51,54,0.0192402602840321
53,50,48,54,0.0294457589140958
29,44.4109589041095,43.4109589041095,45.4109589041095,0.0225322052655819
49,52.4109589041095,51.4109589041095,53.4109589041095,0.0190892485005217
71,61.4109589041095,60.4109589041095,62.4109589041095,0.0162894992989759
50,59.2931506849316,58.2931506849316,60.2931506849316,0.0168717550193689
40,44.5178082191781,42.5178082191781,44.5178082191781,0.0224780516610967
49,41.5178082191781,39.5178082191781,57.5178082191781,0.0938357991781474
38,40.5178082191781,39.5178082191781,40.5178082191781,0.0247005798979294
64,52.5178082191781,38.5178082191781,58.5178082191781,0.104552609104724
39,36.8219178082193,33.8219178082193,59.8219178082193,0.142565766035095
49,62.8219178082193,61.8219178082193,63.8219178082193,0.0159233924180018
32,49.8219178082193,48.8219178082193,56.8219178082193,0.0379356951896794
34,28.8219178082193,26.8219178082193,27.8219178082193,0.0347516680270025
33,37.8219178082193,36.8219178082193,37.8219178082193,0.0264643810149632
50,69.8465753424657,65.8465753424657,73.8465753424657,0.0286655537144649
63,72.8630136986301,65.8630136986301,76.8630136986301,0.0386119398839822
57,69.8630136986301,67.8630136986301,71.8630136986301,0.0143176375943785
34,29.8630136986301,26.8630136986301,61.8630136986301,0.208543024768302
51,49.1698630136987,48.1698630136987,58.1698630136987,0.0471584565402163
51,45.1698630136987,41.1698630136987,58.1698630136987,0.0864152236365656
43,70.304109589041,66.304109589041,77.304109589041,0.0383738095777009
49,53.7342465753425,52.7342465753425,54.7342465753425,0.0186187064925935
44,56.668493150685,55.668493150685,57.668493150685,0.0176538223111908
44,53.668493150685,52.668493150685,54.668493150685,0.0186415388426621
34,47.668493150685,46.668493150685,48.668493150685,0.020990539771645
61,72.3287671232877,66.3287671232877,80.3287671232877,0.047876026517121
55,76.3287671232877,66.3287671232877,92.3287671232877,0.0826830166020873
54,62.3479452054794,62.3479452054794,63.3479452054794,0.0160445257479667
46,59.3479452054794,34.3479452054794,62.3479452054794,0.149047129560799
